run_type,loki,loki,loki,loki,loki,loki,loki,loki,loki,loki,loki,loki,loki,loki,loki,loki,loki,loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,sparse_transformer_loki,vanilla,vanilla,vanilla,vanilla,vanilla,vanilla,vanilla,vanilla,vanilla
prompt_length,512,512,512,512,512,512,1024,1024,1024,1024,1024,1024,2048,2048,2048,2048,2048,2048,512,512,512,512,512,512,512,512,512,512,512,512,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,512,512,512,1024,1024,1024,2048,2048,2048
gen_steps,64,64,128,128,256,256,64,64,128,128,256,256,64,64,128,128,256,256,64,64,64,64,128,128,128,128,256,256,256,256,64,64,64,64,128,128,128,128,256,256,256,256,64,64,64,64,128,128,128,128,256,256,256,256,64,128,256,64,128,256,64,128,256
topk,4.0,8.0,4.0,8.0,4.0,8.0,4.0,8.0,4.0,8.0,4.0,8.0,4.0,8.0,4.0,8.0,4.0,8.0,4.0,4.0,8.0,8.0,4.0,4.0,8.0,8.0,4.0,4.0,8.0,8.0,4.0,4.0,8.0,8.0,4.0,4.0,8.0,8.0,4.0,4.0,8.0,8.0,4.0,4.0,8.0,8.0,4.0,4.0,8.0,8.0,4.0,4.0,8.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
topr,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
stride,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,128.0,512.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
cache-update,0.7886372802853575,0.7889885441362852,1.6550559360384982,1.656868544310333,3.6316351035535432,3.6326430085599486,1.4145330564975753,1.4168780156970016,2.908208993613726,2.9120496962070503,6.132803616762154,6.144259423792354,2.6750680965185176,2.6718062748908977,5.429001055479062,5.425253569722182,11.176057978510846,11.164862174749379,0.7888154237568371,0.788166751921178,0.7886655362546446,0.7888231679499161,1.6588346554934956,1.6583043529093262,1.6573247682750276,1.6570525448918312,3.634129022657862,3.637597215443833,3.6334186241328754,3.6336734082102606,1.4179505909085286,1.4180233941078142,1.4160407991409343,1.417711360335349,2.911247230470185,2.9107139197588,2.91323507320881,2.912814175307744,6.146628737688066,6.145445154130467,6.144327521801007,6.143413411140414,2.674009180068969,2.6733121905326853,2.673523905515672,2.6734716818332678,5.430695840954776,5.430473345398903,5.429377088546749,5.428438557267194,11.180770557045982,11.169704512953729,11.176254461646094,11.170345248818354,0.7835278717577455,1.6461840957403167,3.612176929891111,1.4085942407846455,2.897851363003251,6.1112990716695945,2.666810463309288,5.416086622476582,11.156455039858853
fixed-keys,,,,,,,,,,,,,,,,,,,0.03861372799053783,0.03855923200212418,0.038383680021390275,0.038534624010324404,0.0781286720763893,0.07836515192314963,0.07810556804202504,0.07816428800113506,0.15588943994790272,0.15598684796132237,0.1563544000685209,0.1562874240372326,0.04064918405376366,0.04013123198039824,0.04021353605575853,0.04015683202259246,0.07989449600689104,0.08000713601149614,0.07966294407658292,0.07994339202530708,0.16246409604512174,0.16293836812488685,0.16172252805717288,0.1617369280420245,0.04184092801064247,0.04179936005547637,0.041942560002207724,0.041695040017366444,0.08416092802211662,0.08440959994681194,0.08397644802555458,0.0839927360620354,0.1684542720429593,0.16815888008847746,0.16799257606640422,0.16865328002721036,,,,,,,,,
project,0.15256956799328328,0.1522943360060455,0.3063170240819455,0.3040871361047022,0.6127573443055164,0.6091095043271776,0.15292479994148017,0.1531224962025882,0.30730348794162315,0.3069542081803082,0.6141547523066399,0.6142013439685102,0.15329644797742367,0.15408009605109718,0.3068813439011566,0.30758009591698604,0.6141907204389572,0.6165918081253734,0.15318585602194107,0.15235008023679264,0.15284377603232843,0.15258982379734526,0.3054056960567835,0.30573491213470627,0.30619715199619585,0.3058737922608851,0.6127370878979547,0.6109750081226231,0.6140063681751502,0.610792736284434,0.15293814422190205,0.15267894402891394,0.15277900791913263,0.15323008007556194,0.3054785600453616,0.3051367681175475,0.30643481624126506,0.3069966719448565,0.6144624000862248,0.6152982725054028,0.6138768963515733,0.6132558401152489,0.15358243203163158,0.15379206407070156,0.1539186559244993,0.15374364797025947,0.30871913608908624,0.30800761637464213,0.30784124795347434,0.3082456641122693,0.6166811520680798,0.6150292480438919,0.6170581763535734,0.6161621764823798,,,,,,,,,
qk-gen,0.394109695956111,0.3937887681722641,0.7901138560026892,0.7870839684456603,1.5919829121083064,1.586026432529095,0.40258809608221097,0.40150851242244184,0.8069872002601624,0.8015926719456904,1.6187912954539012,1.6169676804989528,0.42056019233167163,0.41442502389848235,0.8432588162869235,0.8293959997147297,1.6930584958940762,1.6630670081377,0.3938531840294604,0.39377798369526823,0.39396556797623655,0.39318841591477394,0.7913949121236782,0.7919921279549613,0.7907136321216817,0.7898359041512018,1.5886309120953102,1.5868213117718732,1.586427647471433,1.5873224637359324,0.40271337617933733,0.4014965759962794,0.40268588812649236,0.40167443230748184,0.8010336640775171,0.8025873920023453,0.8019963204264632,0.8038250560760494,1.6164953274130842,1.6268321600705338,1.613984895542259,1.620209663584827,0.40935142414271797,0.4096128319203854,0.4088351679593317,0.40916243228316285,0.8229899837076665,0.8225631678849487,0.9119238064289102,0.8215514560341813,1.6527308483272736,1.6604254080653114,1.6508863997608367,1.6597890884578266,0.3855222082436084,0.7764915200322884,1.5535904637873192,0.39460819196701086,0.7878717117458588,1.5810999355614177,0.4067106880247592,0.812550016283989,1.6332640962302634
qk-matmul-1,0.2114936319589613,0.21308979178220047,0.43219760014861797,0.4337897599935531,0.8970726713687202,0.9017812801972044,0.2791244483143084,0.2783782080709939,0.5673824319988497,0.5663263998776668,1.1672645123600964,1.167790016695862,0.3994098556041721,0.3977942396402363,0.8046618880629549,0.8015864964425573,1.6388380477428368,1.6311075199842435,0.14824454402923626,0.14870147182047383,0.14764630400389436,0.14845926411449928,0.3034336000755425,0.3041786240786308,0.30456800024956365,0.30437983980029776,0.6144380484968445,0.6413002881333243,0.6166377924010168,0.6442679999470704,0.15304028799384836,0.15335289600491508,0.1535529600158336,0.15298185598105152,0.3154116158783431,0.3156457918658858,0.31524150399863743,0.31536457575857585,0.6331011199057116,0.6582637438923103,0.6311894079670312,0.655268960490824,0.15920947201549987,0.1592641920372846,0.15902201600372814,0.1591394560188054,0.32766985622048306,0.32741987204551676,0.3271198399066927,0.32710630399733703,0.6601721919849535,0.6850371837392453,0.6592439038231999,0.6850996158644553,0.24998761592060317,0.5160768638551224,1.0815518400818072,0.34590329606831066,0.702802559912204,1.4531364163905398,0.5221405443400148,1.0540951043218345,2.1540506869256464
